Date,Regroupement,Croisement,Nom,vac_quo_1_n,vac_quo_2_n,vac_cum_1_n,vac_cum_2_n,vac_quo_tot_n,vac_cum_tot_n,cvac_cum_tot_1_p,cvac_cum_tot_2_p,cvac_cum_tot_ade_p,per_quo_1_n,per_quo_2_n,per_cum_1_n,per_cum_2_n,vac_quo_tot_m
2020-12-16,Sexe,FEM,Féminin,671,0,1688,0,671,1688,,,,,,,,
2020-12-16,Sexe,INC,Inconnu,3,0,3,0,3,3,,,,,,,,
2020-12-16,Sexe,MASC,Masculin,275,0,720,0,275,720,,,,,,,,
2020-12-16,Sexe,TOT,Total,949,0,2411,0,949,2411,,,,,,,,
2020-12-16,Groupe prioritaire,GRP-Autres,Autres raisons,9,0,18,0,9,18,,,,,,,,
2020-12-16,Groupe prioritaire,GRP-CHSLD,Résident en CHSLD,1,0,457,0,1,457,0.925633488,0,0.2186535798,1,0,381,0,
2020-12-16,Groupe prioritaire,GRP-MC,Maladie chronique,0,0,0,0,0,0,0.0363843901,0,0.004576415,299,0,962,0,
2020-12-16,Groupe prioritaire,GRP-RPA,Résident en RPA,0,0,1,0,0,1,0.0015659255,0,0,0,0,2,0,
2020-12-16,Groupe prioritaire,GRP-TS,Travailleur de la santé,939,0,1935,0,939,1935,0.4453260041,0,0.0293523798,676,0,1502,0,
2020-12-16,Groupe prioritaire,TOT,Total,949,0,2411,0,949,2411,,,,,,,,
2020-12-16,Groupe d'âge 2,GR2_0_11,Moins de 12 ans,0,0,1,0,0,1,0,0,0,0,0,0,0,
2020-12-16,Groupe d'âge 2,GR2_12_17,12 à 17 ans,2,0,4,0,2,4,0,0,0,0,0,0,0,
2020-12-16,Groupe d'âge 2,GR2_18_29,18 à 29 ans,148,0,274,0,148,274,0.0214626098,0,0.0013414131,137,0,256,0,
2020-12-16,Groupe d'âge 2,GR2_30_49,30 à 49 ans,440,0,908,0,440,908,0.0398559682,0,0.0028848975,435,0,898,0,
2020-12-16,Groupe d'âge 2,GR2_50_69,50 à 69 ans,349,0,809,0,349,809,0.0375085873,0,0.0023750957,369,0,837,0,
2020-12-16,Groupe d'âge 2,GR2_70_79,70 à 79 ans,9,0,87,0,9,87,0.011355538,0,0.0026104685,10,0,87,0,
2020-12-16,Groupe d'âge 2,GR2_80_,80 ans et plus,1,0,328,0,1,328,0.0623336486,0,0.0151686445,1,0,263,0,
2020-12-16,Groupe d'âge 2,TOT,Total,949,0,2411,0,949,2411,0.0276022782,0,0.0025703958,952,0,2341,0,
2020-12-16,Groupe d'âge 2,GR2_12_,12 ans et plus,949,0,2410,0,949,2410,0.0315392558,0,0.0029370174,952,0,2341,0,
2020-12-17,Région,RSS00,Inconnue,30,0,104,0,30,104,0.4410891509,0,0.0042412418,30,0,104,0,
2020-12-17,Région,RSS01,01 - Bas-Saint-Laurent,2,0,3,0,2,3,0.0014947162,0,0,2,0,3,0,
2020-12-17,Région,RSS02,02 - Saguenay - Lac-Saint-Jean,1,0,6,0,1,6,0.0021271165,0,0,1,0,6,0,
2020-12-17,Région,RSS03,03 - Capitale-Nationale,479,0,1775,0,479,1775,0.2315784652,0,0.0123939609,479,0,1719,0,
2020-12-17,Région,RSS04,04 - Mauricie et Centre-du-Québec,6,0,17,0,6,17,0.0032231032,0,0,6,0,17,0,
2020-12-17,Région,RSS05,05 - Estrie,1,0,2,0,1,2,0.0005898209,0,0,2,0,3,0,
2020-12-17,Région,RSS06,06 - Montréal,276,0,1064,0,276,1064,0.0541227373,0,0.0080873056,276,0,1044,0,
2020-12-17,Région,RSS07,07 - Outaouais,2,0,3,0,2,3,0.0034176517,0,0,8,0,14,0,
2020-12-17,Région,RSS08,08 - Abitibi-Témiscamingue,0,0,2,0,0,2,0.0013296016,0,0,0,0,2,0,
2020-12-17,Région,RSS09,09 - Côte-Nord,0,0,2,0,0,2,0.0010884591,0,0,0,0,1,0,
2020-12-17,Région,RSS10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-17,Région,RSS11,11 - Gaspésie - Îles-de-la-Madeleine,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-17,Région,RSS12,12 - Chaudière-Appalaches,39,0,131,0,39,131,0.0299817821,0,0.0029752913,39,0,131,0,
2020-12-17,Région,RSS13,13 - Laval,17,0,55,0,17,55,0.0127346946,0,0.0004630798,17,0,55,0,
2020-12-17,Région,RSS14,14 - Lanaudière,6,0,12,0,6,12,0.0022694349,0,0.0003782391,6,0,12,0,
2020-12-17,Région,RSS15,15 - Laurentides,7,0,21,0,7,21,0.0033004908,0,0.0001571662,7,0,21,0,
2020-12-17,Région,RSS16,16 - Montérégie,37,0,117,0,37,117,0.0082479429,0,0.000623794,37,0,119,0,
2020-12-17,Région,RSS17,17 - Nunavik,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-17,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-17,Région,RSS98,Hors Québec,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-17,Région,RSS99,Ensemble du Québec,903,0,3314,0,903,3314,0.0383319121,0,0.0032542626,910,0,3251,0,696
2020-12-17,Groupe d'âge 1,GR1_0_15,Moins de 16 ans,0,0,1,0,0,1,0,0,0,0,0,0,0,
2020-12-17,Groupe d'âge 1,GR1_16_59,16 à 59 ans,811,0,2578,0,811,2578,0.0540841122,0,0.0035125049,809,0,2556,0,
2020-12-17,Groupe d'âge 1,GR1_60_69,60 à 69 ans,79,0,307,0,79,307,0.0296087642,0,0.0020450498,89,0,333,0,
2020-12-17,Groupe d'âge 1,GR1_70_79,70 à 79 ans,8,0,95,0,8,95,0.0123997254,0,0.0027409919,8,0,95,0,
2020-12-17,Groupe d'âge 1,GR1_80_,80 ans et plus,5,0,333,0,5,333,0.0632816888,0,0.0156426647,4,0,267,0,
2020-12-17,Groupe d'âge 1,TOT,Total,903,0,3314,0,903,3314,0.0383319121,0,0.0032542626,910,0,3251,0,696
2020-12-17,Sexe,FEM,Féminin,633,0,2321,0,633,2321,,,,,,,,
2020-12-17,Sexe,INC,Inconnu,1,0,4,0,1,4,,,,,,,,
2020-12-17,Sexe,MASC,Masculin,269,0,989,0,269,989,,,,,,,,
2020-12-17,Sexe,TOT,Total,903,0,3314,0,903,3314,,,,,,,,696
2020-12-17,Groupe prioritaire,GRP-Autres,Autres raisons,3,0,21,0,3,21,,,,,,,,
2020-12-17,Groupe prioritaire,GRP-CHSLD,Résident en CHSLD,6,0,463,0,6,463,0.9402103933,0,0.2259420325,6,0,387,0,
2020-12-17,Groupe prioritaire,GRP-MC,Maladie chronique,0,0,0,0,0,0,0.0454237552,0,0.0053328472,239,0,1201,0,
2020-12-17,Groupe prioritaire,GRP-RPA,Résident en RPA,0,0,1,0,0,1,0.0015659255,0,0,0,0,2,0,
2020-12-17,Groupe prioritaire,GRP-TS,Travailleur de la santé,894,0,2829,0,894,2829,0.6383401377,0,0.0409154385,651,0,2153,0,
2020-12-17,Groupe prioritaire,TOT,Total,903,0,3314,0,903,3314,,,,,,,,696
2020-12-17,Groupe d'âge 2,GR2_0_11,Moins de 12 ans,0,0,1,0,0,1,0,0,0,0,0,0,0,
2020-12-17,Groupe d'âge 2,GR2_12_17,12 à 17 ans,0,0,4,0,0,4,0,0,0,0,0,0,0,
2020-12-17,Groupe d'âge 2,GR2_18_29,18 à 29 ans,141,0,415,0,141,415,0.0327807829,0,0.001844443,135,0,391,0,
2020-12-17,Groupe d'âge 2,GR2_30_49,30 à 49 ans,430,0,1338,0,430,1338,0.0587187593,0,0.0040832395,425,0,1323,0,
2020-12-17,Groupe d'âge 2,GR2_50_69,50 à 69 ans,319,0,1128,0,319,1128,0.0526554242,0,0.0033609845,338,0,1175,0,
2020-12-17,Groupe d'âge 2,GR2_70_79,70 à 79 ans,8,0,95,0,8,95,0.0123997254,0,0.0027409919,8,0,95,0,
2020-12-17,Groupe d'âge 2,GR2_80_,80 ans et plus,5,0,333,0,5,333,0.0632816888,0,0.0156426647,4,0,267,0,
2020-12-17,Groupe d'âge 2,TOT,Total,903,0,3314,0,903,3314,0.0383319121,0,0.0032542626,910,0,3251,0,696
2020-12-17,Groupe d'âge 2,GR2_12_,12 ans et plus,903,0,3313,0,903,3313,0.0437992826,0,0.0037184257,910,0,3251,0,
2020-12-18,Région,RSS00,Inconnue,14,0,118,0,14,118,0.5004665366,0,0.0084824837,14,0,118,0,
2020-12-18,Région,RSS01,01 - Bas-Saint-Laurent,0,0,3,0,0,3,0.0014947162,0,0,0,0,3,0,
2020-12-18,Région,RSS02,02 - Saguenay - Lac-Saint-Jean,1,0,7,0,1,7,0.0024816359,0,0.0003545194,1,0,7,0,
2020-12-18,Région,RSS03,03 - Capitale-Nationale,491,0,2266,0,491,2266,0.2977244957,0,0.0189950923,491,0,2210,0,
2020-12-18,Région,RSS04,04 - Mauricie et Centre-du-Québec,4,0,21,0,4,21,0.0039814804,0,0,4,0,21,0,
2020-12-18,Région,RSS05,05 - Estrie,0,0,2,0,0,2,0.0007864278,0,0,1,0,4,0,
2020-12-18,Région,RSS06,06 - Montréal,139,0,1203,0,139,1203,0.0613805756,0,0.0091241396,140,0,1184,0,
2020-12-18,Région,RSS07,07 - Outaouais,0,0,3,0,0,3,0.0039058876,0,0,2,0,16,0,
2020-12-18,Région,RSS08,08 - Abitibi-Témiscamingue,0,0,2,0,0,2,0.0013296016,0,0,0,0,2,0,
2020-12-18,Région,RSS09,09 - Côte-Nord,0,0,2,0,0,2,0.0010884591,0,0,0,0,1,0,
2020-12-18,Région,RSS10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-18,Région,RSS11,11 - Gaspésie - Îles-de-la-Madeleine,1,0,1,0,1,1,0.0010571942,0,0,1,0,1,0,
