No,RSS,NoRLS,RLS,Cas vague 1,Taux cas vague 1,Cas vague 2,Taux cas vague 2,Cas vague 3,Taux cas vague 3,Cas vague 4,Taux cas vague 4,Cas vague 5,Taux cas vague 5,Cas vague 6,Taux cas vague 6,Cas vague 7,Taux cas vague 7
13,13 - Laval,1311,1311 - RLS de Laval,4815,1087.41,19903,4492.84,5298,1195.42,7120,1606.53,27812,6245.26,5323,1189.58,12383,2755.30
13,13 - Laval,,Total (incluant inconnus),4898,1106.15,19918,4496.22,5304,1196.77,7126,1607.88,27893,6263.45,5333,1191.82,12471,2774.89
14,14 - Lanaudière,1411,1411 - RLS de Lanaudière-Nord,1224,542.12,6539,2853.09,806,346.51,1645,707.22,12310,5237.22,3006,1265.71,6611,2756.11
14,14 - Lanaudière,1412,1412 - RLS de Lanaudière-Sud,2174,727.89,9958,3312.15,2074,685.33,3360,1110.27,22003,7226.25,4195,1369.37,8307,2695.80
14,14 - Lanaudière,,Total (incluant inconnus),3472,662.02,16541,3121.88,2882,538.46,5011,936.23,34372,6370.67,7206,1325.02,14953,2728.58
15,15 - Laurentides,1511,1511 - RLS d'Antoine-Labelle,21,58.56,766,2109.90,127,345.59,263,715.67,2189,5927.03,707,1904.84,1722,4616.99
15,15 - Laurentides,1512,1512 - RLS des Laurentides,141,288.28,700,1411.36,208,413.65,613,1219.08,3160,6221.64,741,1444.53,1598,3085.84
15,15 - Laurentides,1513,1513 - RLS des Pays-d'en-Haut,179,394.26,635,1371.77,147,311.58,564,1195.45,2394,5013.56,632,1307.89,1465,2997.75
15,15 - Laurentides,1514,1514 - RLS d'Argenteuil,78,230.80,417,1213.92,185,529.98,278,796.40,1828,5187.73,374,1051.54,1121,3123.48
15,15 - Laurentides,1515,1515 - RLS de Deux-Montagnes - Mirabel-Sud,551,440.90,2765,2190.63,688,539.75,1095,859.05,7679,5973.76,1749,1349.29,3678,2814.59
15,15 - Laurentides,1516,1516 - RLS de la Rivière-du-Nord - Mirabel-Nord,809,453.72,3687,2037.48,1112,605.62,2292,1248.26,12951,6971.24,2857,1520.17,6387,3360.84
15,15 - Laurentides,1517,1517 - RLS de Thérèse-De Blainville,1004,609.86,4056,2446.27,1136,680.33,1463,876.16,12186,7250.31,2541,1502.01,4792,2814.60
15,15 - Laurentides,,Total (incluant inconnus),2848,450.72,13180,2060.90,3629,560.74,6611,1021.51,42896,6567.97,9664,1466.38,20976,3155.17
16,16 - Montérégie,1611,1611 - RLS de Champlain,1577,696.07,5571,2454.04,1618,711.31,2125,934.19,10041,4383.80,2594,1124.76,6182,2663.66
16,16 - Montérégie,1612,1612 - RLS du Haut-Richelieu - Rouville,621,317.11,3925,1993.59,985,497.65,1523,769.46,9340,4689.84,2965,1479.70,6270,3110.44
16,16 - Montérégie,1621,1621 - RLS Pierre-Boucher,1743,662.25,6517,2477.10,1730,657.83,1809,687.87,12181,4608.79,3233,1217.18,6724,2519.65
16,16 - Montérégie,1622,1622 - RLS de Richelieu-Yamaska,785,353.15,5947,2665.65,1180,527.00,1096,489.48,9656,4290.57,2958,1307.74,6159,2709.66
16,16 - Montérégie,1623,1623 - RLS Pierre-De Saurel,42,80.98,1097,2097.49,167,316.68,497,942.45,2561,4832.12,897,1684.06,1518,2836.08
16,16 - Montérégie,1631,1631 - RLS de Vaudreuil-Soulanges,546,338.32,3100,1903.69,1097,667.69,991,603.18,7907,4773.23,1693,1013.72,3797,2256.18
16,16 - Montérégie,1632,1632 - RLS du Suroît,476,780.99,1217,1967.62,328,522.67,520,828.62,3694,5832.52,1010,1580.25,2398,3718.26
16,16 - Montérégie,1633,1633 - RLS du Haut-Saint-Laurent,88,358.17,478,1918.56,123,486.94,106,419.64,946,3715.71,210,818.43,737,2850.46
16,16 - Montérégie,1634,1634 - RLS de Jardins-Roussillon,870,373.51,5358,2284.12,1635,692.13,1650,698.48,12233,5136.95,3499,1457.63,6783,2804.35
16,16 - Montérégie,,Total (incluant inconnus),6804,472.64,33324,2303.66,8889,611.53,10366,713.14,68987,4715.01,19170,1301.69,40844,2756.25
17,17 - Nunavik,1701,1701 - Nunavik,n.d.,n.d.,49,338.78,19,130.35,887,6085.35,1739,11845.24,377,2549.71,508,3411.57
17,17 - Nunavik,,Total (incluant inconnus),n.d.,n.d.,54,373.35,20,137.21,890,6105.93,1763,12008.72,379,2563.24,510,3425.00
18,18 - Terres-Cries-de-la-Baie-James,1801,1801 - Terres-Cries-de-la-Baie-James,5,27.24,100,540.00,7,37.48,27,144.55,1166,6194.38,894,4713.20,867,4536.65
18,18 - Terres-Cries-de-la-Baie-James,,Total (incluant inconnus),5,27.24,100,540.00,7,37.48,33,176.67,1180,6268.76,899,4739.56,872,4562.82

