date,Regroupement,Croisement,Nom,cas_cum_lab_n,cas_cum_epi_n,cases,cas_cum_tot_t,cas_quo_tot_t,cas_quo_lab_n,cas_quo_epi_n,new_cases,active_cases,act_cum_tot_t,cas_quo_tot_m,cas_quo_tot_tm,recovered,new_recovered,deaths,dec_cum_tot_t,dec_quo_tot_t,deaths_chsld,deaths_psr,deaths_home,deaths_other,new_deaths,dec_quo_chs_n,dec_quo_rpa_n,dec_quo_dom_n,dec_quo_aut_n,dec_quo_tot_m,dec_quo_tot_tm,hos_cum_reg_n,hos_cum_si_n,hos_cum_tot_n,hos_cum_tot_t,hos_quo_tot_t,hos_quo_reg_n,hos_quo_si_n,hos_quo_tot_n,hos_quo_tot_m,hos_act_reg_n,hos_act_si_n,hos_act_tot_n,psi_cum_tes_n,psi_cum_pos_n,negative_tests,psi_cum_adm_n,psi_quo_pos_n,new_negative_tests,psi_quo_tes_n,psi_quo_pos_t,psi_heb_pos_t
2020-11-17,Région,RSS99,Ensemble du Québec,119347,7673,127020,1482.93,13.19,1110,16,1126,11770,137.84,1165.29,13.65,106941,1174,6773,79.07,0.41,4403,1171,860,339,35,22,5,5,3,28.86,0.34,9163.0,1962.0,11125.0,129.88,1.03,81.0,7.0,88.0,76.29,553.0,100.0,653.0,2017333,119913,1897420,3360870,1259,27561,28820,4.37,4.34
2020-11-18,Région,RSS99,Ensemble du Québec,120534,7690,128224,1496.99,14.1,1187,17,1204,11793,138.11,1147.57,13.44,108077,1136,6810,79.51,0.43,4416,1185,867,342,37,13,14,7,3,29.29,0.34,9229.0,1964.0,11193.0,130.68,0.8,66.0,2.0,68.0,77.57,551.0,102.0,653.0,2028934,121157,1907777,3391322,1244,29208,30452,4.09,4.34
2020-11-19,Région,RSS99,Ensemble du Québec,121818,7713,129531,1512.25,15.31,1284,23,1307,11542,135.17,1161.0,13.6,109595,1518,6838,79.83,0.33,4425,1193,877,343,28,9,8,10,1,30.29,0.35,9297.0,1972.0,11269.0,131.56,0.89,68.0,8.0,76.0,76.86,529.0,96.0,625.0,2039685,122341,1917344,3421450,1184,28944,30128,3.93,4.34
2020-11-20,Région,RSS99,Ensemble du Québec,122951,7727,130678,1525.64,13.43,1133,14,1147,11369,133.14,1169.0,13.69,110876,1281,6864,80.14,0.3,4437,1203,878,346,26,12,10,1,3,30.14,0.35,9371.0,1984.0,11355.0,132.57,1.01,74.0,12.0,86.0,73.86,548.0,99.0,647.0,2049947,123483,1926464,3450852,1142,28260,29402,3.88,4.34
2020-11-21,Région,RSS99,Ensemble du Québec,124054,7738,131792,1538.64,13.05,1103,11,1114,11290,132.22,1184.0,13.87,112041,1165,6892,80.46,0.33,4446,1211,888,347,28,9,8,10,1,30.71,0.36,9429.0,1998.0,11427.0,133.41,0.84,58.0,14.0,72.0,74.0,540.0,103.0,643.0,2059776,124573,1935203,3476367,1090,24425,25515,4.27,4.34
2020-11-22,Région,RSS99,Ensemble du Québec,125240,7759,132999,1552.73,14.14,1186,21,1207,11164,130.74,1209.43,14.16,113347,1306,6925,80.85,0.39,4457,1221,899,348,33,11,10,11,1,29.57,0.35,9481.0,2007.0,11488.0,134.12,0.71,52.0,9.0,61.0,77.43,537.0,98.0,635.0,2068963,125845,1943118,3497481,1272,19842,21114,6.02,4.89
2020-11-23,Région,RSS99,Ensemble du Québec,126307,7770,134077,1565.32,12.62,1067,11,1078,10953,128.27,1213.43,14.21,114604,1257,6949,81.13,0.28,4465,1230,905,349,24,8,9,6,1,29.71,0.35,9538.0,2016.0,11554.0,134.89,0.77,57.0,9.0,66.0,80.43,560.0,96.0,656.0,2076832,126830,1950002,3516394,985,17928,18913,5.21,4.89
2020-11-24,Région,RSS99,Ensemble du Québec,127527,7781,135308,1579.69,14.42,1220,11,1231,11154,130.62,1231.29,14.42,115599,995,6988,81.58,0.46,4488,1237,912,351,39,23,7,7,2,29.71,0.35,9615.0,2028.0,11643.0,135.93,1.04,77.0,12.0,89.0,81.86,562.0,93.0,655.0,2087152,128103,1959049,3545223,1273,27556,28829,4.42,4.89
2020-11-25,Région,RSS99,Ensemble du Québec,128895,7795,136690,1595.83,16.18,1368,14,1382,11661,136.56,1276.29,14.95,116436,837,7017,81.92,0.34,4493,1248,922,354,29,5,11,10,3,30.0,0.35,9694.0,2041.0,11735.0,137.0,1.08,79.0,13.0,92.0,82.71,585.0,90.0,675.0,2098316,129526,1968790,3576061,1423,29415,30838,4.61,4.89
2020-11-26,Région,RSS99,Ensemble du Québec,130215,7810,138025,1611.41,15.63,1320,15,1335,11693,136.94,1301.43,15.24,117696,1260,7046,82.26,0.34,4507,1254,928,357,29,14,6,6,3,30.0,0.35,9783.0,2049.0,11832.0,138.14,1.14,89.0,8.0,97.0,83.14,579.0,90.0,669.0,2109000,130897,1978103,3606690,1371,29258,30629,4.48,4.89
