No,RSS,NoRLS,RLS,Cas vague 1,Taux cas vague 1,Cas vague 2,Taux cas vague 2,Cas vague 3,Taux cas vague 3,Cas vague 4,Taux cas vague 4,Cas vague 5,Taux cas vague 5,Cas vague 6,Taux cas vague 6,Cas vague 7,Taux cas vague 7,Cas vague haute endémicité,Taux cas vague haute endémicité,Cas saison 2023-2024,Taux cas saison 2023-2024
08,08 - Abitibi-Témiscamingue,0813,0813 - RLS de Rouyn-Noranda,94,218.01,169,392.25,122,283.37,61,141.69,1412,3274.24,809,1872.86,514,1189.92,758,1752.14,582,1340.92
08,08 - Abitibi-Témiscamingue,0814,0814 - RLS de la Vallée-de-l'Or,6,13.73,196,448.11,93,212.50,100,228.49,2071,4726.31,735,1675.33,599,1365.34,723,1646.08,503,1143.09
08,08 - Abitibi-Témiscamingue,0815,0815 - RLS du Témiscaming,8,50.77,35,221.11,29,182.38,199,1251.49,732,4601.31,311,1954.01,239,1501.63,377,2368.09,276,1735.09
08,08 - Abitibi-Témiscamingue,,Total (incluant inconnus),122,82.45,750,506.41,270,182.13,432,291.42,5941,4003.37,2665,1793.91,2061,1387.34,2727,1833.89,1925,1292.46
09,09 - Côte-Nord,0911,0911 - RLS de Caniapiscau,0,0.00,11,340.40,n.d.,n.d.,n.d.,n.d.,217,6755.92,86,2672.47,67,2082.04,54,1675.46,17,528.85
09,09 - Côte-Nord,0912,0912 - RLS de la Haute-Côte-Nord - Manicouagan,17,41.77,129,317.11,178,437.79,210,516.49,1921,4730.48,1125,2773.74,863,2127.76,1290,3184.60,525,1302.41
09,09 - Côte-Nord,0913,0913 - RLS de Port-Cartier,41,555.56,40,541.82,6,81.25,n.d.,n.d.,313,4242.34,125,1695.84,119,1614.43,175,2376.26,79,1076.88
09,09 - Côte-Nord,0914,0914 - RLS de Sept-Îles,36,130.61,54,195.93,20,72.57,37,134.26,1803,6542.09,602,2184.25,623,2260.44,885,3211.12,370,1345.45
09,09 - Côte-Nord,0915,0915 - RLS de la Minganie,n.d.,n.d.,13,201.61,8,123.88,n.d.,n.d.,354,5482.42,355,5498.76,276,4275.09,225,3485.13,81,1257.76
09,09 - Côte-Nord,0916,0916 - RLS de la Basse-Côte-Nord,0,0.00,6,129.62,n.d.,n.d.,n.d.,n.d.,364,7873.68,402,8714.50,276,5983.09,152,3302.55,38,830.78
09,09 - Côte-Nord,0917,0917 - RLS de Kawawachikamach,0,0.00,0,0.00,0,0.00,n.d.,n.d.,n.d.,n.d.,5,773.99,n.d.,n.d.,5,772.80,0,0.00
09,09 - Côte-Nord,,Total (incluant inconnus),103,113.68,258,284.85,225,248.50,265,292.68,5081,5615.39,2726,3014.69,2268,2508.18,2882,3189.43,1122,1246.34
