Date,Regroupement,Croisement,Nom,vac_quo_tot_n,vac_cum_tot_n,cv_tot_n,pop_tot_n,cv_tot_p,vac_quo_tot_m
2020-12-16,Groupe d'âge 3,GR3_05_11,5 à 11 ans,0,0,,,,
2020-12-16,Groupe d'âge 3,GR3_12_17,12 à 17 ans,2,4,,,,
2020-12-16,Groupe d'âge 3,GR3_18_59,18 à 59 ans,869,1814,,,,
2020-12-16,Groupe d'âge 3,GR3_60_69,60 à 69 ans,91,236,,,,
2020-12-16,Groupe d'âge 3,GR3_70_79,70 à 79 ans,9,87,,,,
2020-12-16,Groupe d'âge 3,GR3_80_,80 ans et +,1,330,,,,
2020-12-16,Groupe d'âge 3,TOT,Total,972,2472,,,,
2020-12-16,Groupe d'âge 3,GR3_18_,18 ans et +,970,2467,,,,
2020-12-16,Groupe d'âge 3,GR3_65_,65 ans et +,29,487,,,,
2020-12-17,Région,RSS00,Inconnue,0,3,,,,
2020-12-17,Région,RSS01,01 - Bas-Saint-Laurent,7,8,,,,
2020-12-17,Région,RSS02,02 - Saguenay - Lac-Saint-Jean,4,13,,,,
2020-12-17,Région,RSS03,03 - Capitale-Nationale,457,1711,,,,
2020-12-17,Région,RSS04,04 - Mauricie et Centre-du-Québec,8,27,,,,
2020-12-17,Région,RSS05,05 - Estrie,4,29,,,,
2020-12-17,Région,RSS06,06 - Montréal,285,1110,,,,
2020-12-17,Région,RSS07,07 - Outaouais,2,5,,,,
2020-12-17,Région,RSS08,08 - Abitibi-Témiscamingue,1,3,,,,
2020-12-17,Région,RSS09,09 - Côte-Nord,4,7,,,,
2020-12-17,Région,RSS10,10 - Nord-du-Québec,0,0,,,,
2020-12-17,Région,RSS11,11 - Gaspésie - Îles-de-la-Madeleine,0,2,,,,
2020-12-17,Région,RSS12,12 - Chaudière-Appalaches,47,168,,,,
2020-12-17,Région,RSS13,13 - Laval,20,71,,,,
2020-12-17,Région,RSS14,14 - Lanaudière,10,22,,,,
2020-12-17,Région,RSS15,15 - Laurentides,18,46,,,,
2020-12-17,Région,RSS16,16 - Montérégie,46,160,,,,
2020-12-17,Région,RSS17,17 - Nunavik,0,0,,,,
